serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-16 13:57:38.231095,5b3f242f9c2ec600014ef9fc,,,Login,,,,
2,2023-11-16 14:01:47.498253,5b3f242f9c2ec600014ef9fc,0,None,apply_refine_search,Age,18-25,,
3,2023-11-16 14:07:42.249322,5b3f242f9c2ec600014ef9fc,372948,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Housing situation', 'value': '0.017'}, {'attribute': 'Age', 'value': '0.077'}, {'attribute': 'Goods Price', 'value': '0.086'}, {'attribute': 'Family status', 'value': '0.036'}, {'attribute': 'Has email', 'value': '0.018'}, {'attribute': 'Owns Car', 'value': '0.049'}, {'attribute': 'Years in current employment', 'value': '0.086'}, {'attribute': 'Gender', 'value': '0.01'}, {'attribute': 'Highest education level', 'value': '0.028'}, {'attribute': 'Occupation Type', 'value': '0.069'}, {'attribute': 'Loan annuity', 'value': '0.072'}, {'attribute': 'Income', 'value': '0.086'}, {'attribute': 'Owns Property', 'value': '0.072'}, {'attribute': 'Number of children', 'value': '0.046'}, {'attribute': 'Years since changing  identity document', 'value': '0.022'}, {'attribute': 'Number of family members', 'value': '0.024'}, {'attribute': 'Application Day', 'value': '0.01'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
4,2023-11-16 14:08:15.531275,5b3f242f9c2ec600014ef9fc,0,None,SORTING_CLICKED_Applications_List_Predicted Decision,None,descend,,
5,2023-11-16 14:12:12.250750,5b3f242f9c2ec600014ef9fc,357299,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [{'attribute': 'Owns Car', 'value': '0.048'}, {'attribute': 'Owns Property', 'value': '0.065'}, {'attribute': 'Number of children', 'value': '0.048'}, {'attribute': 'Application Day', 'value': '0.002'}, {'attribute': 'Income type', 'value': '0.064'}, {'attribute': 'Family status', 'value': '0.039'}, {'attribute': 'Housing situation', 'value': '0.05'}, {'attribute': 'Region & City Rating', 'value': '0.026'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.035""},{""attribute"":""Income"",""value"":""0.066""},{""attribute"":""Loan Credit amount "",""value"":""0.066""},{""attribute"":""Loan annuity"",""value"":""0.055""},{""attribute"":""Goods Price"",""value"":""0.066""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.043""},{""attribute"":""Age"",""value"":""0.059""},{""attribute"":""Years in current employment"",""value"":""0.066""},{""attribute"":""Years since changing registration"",""value"":""0.044""},{""attribute"":""Years since changing  identity document"",""value"":""0.017""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.005""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.007""},{""attribute"":""Has email"",""value"":""0.014""},{""attribute"":""Number of family members"",""value"":""0.018""},{""attribute"":""Region\'s Rating"",""value"":""0.008""},{""attribute"":""Region & City Rating"",""value"":""0.015""},{""attribute"":""Application Hour"",""value"":""0.026""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.003""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.01""},{""attribute"":""Work address in Registration city"",""value"":""0.005""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.008""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.005""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.005""},{""attribute"":""Years since changing phone"",""value"":""0.021""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.005""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.005""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.005""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.003""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.023""},{""attribute"":""Installments"",""value"":""0.005""},{""attribute"":""Gender"",""value"":""0.008""},{""attribute"":""Owns Car"",""value"":""0.037""},{""attribute"":""Owns Property"",""value"":""0.055""},{""attribute"":""Accompanied while applying"",""value"":""0.007""},{""attribute"":""Income type"",""value"":""0.011""},{""attribute"":""Highest education level"",""value"":""0.021""},{""attribute"":""Family status"",""value"":""0.027""},{""attribute"":""Housing situation"",""value"":""0.013""},{""attribute"":""Occupation Type"",""value"":""0.053""},{""attribute"":""Application Day"",""value"":""0.008""},{""attribute"":""Employer organization"",""value"":""0.027""}]'}",0,0
6,2023-11-16 14:13:01.728780,5b3f242f9c2ec600014ef9fc,0,None,apply_refine_search,Income,>250K,,
7,2023-11-16 14:15:23.459293,5b3f242f9c2ec600014ef9fc,120401,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [{'attribute': 'Highest education level', 'value': '0.027'}, {'attribute': 'Owns Car', 'value': '0.054'}, {'attribute': 'Family status', 'value': '0.018'}, {'attribute': 'Accompanied while applying', 'value': '0.003'}, {'attribute': 'Number of family members', 'value': '0.027'}, {'attribute': 'Age', 'value': '0.058'}, {'attribute': 'Application Hour', 'value': '0.01'}, {'attribute': 'Number of children', 'value': '0.052'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.042""},{""attribute"":""Income"",""value"":""0.058""},{""attribute"":""Loan Credit amount "",""value"":""0.058""},{""attribute"":""Loan annuity"",""value"":""0.048""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.038""},{""attribute"":""Age"",""value"":""0.052""},{""attribute"":""Years in current employment"",""value"":""0.058""},{""attribute"":""Years since changing registration"",""value"":""0.039""},{""attribute"":""Years since changing  identity document"",""value"":""0.015""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.004""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.006""},{""attribute"":""Has email"",""value"":""0.012""},{""attribute"":""Number of family members"",""value"":""0.016""},{""attribute"":""Region\'s Rating"",""value"":""0.007""},{""attribute"":""Region & City Rating"",""value"":""0.023""},{""attribute"":""Application Hour"",""value"":""0.023""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.003""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.009""},{""attribute"":""Work address in Registration city"",""value"":""0.004""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.01""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.004""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.004""},{""attribute"":""Years since changing phone"",""value"":""0.018""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.003""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.02""},{""attribute"":""Installments"",""value"":""0.004""},{""attribute"":""Gender"",""value"":""0.007""},{""attribute"":""Owns Car"",""value"":""0.042""},{""attribute"":""Owns Property"",""value"":""0.057""},{""attribute"":""Accompanied while applying"",""value"":""0.006""},{""attribute"":""Income type"",""value"":""0.056""},{""attribute"":""Highest education level"",""value"":""0.018""},{""attribute"":""Family status"",""value"":""0.034""},{""attribute"":""Housing situation"",""value"":""0.044""},{""attribute"":""Occupation Type"",""value"":""0.046""},{""attribute"":""Application Day"",""value"":""0.002""},{""attribute"":""Employer organization"",""value"":""0.024""}]'}",0,0
8,2023-11-16 14:15:33.972490,5b3f242f9c2ec600014ef9fc,120401,None,REVERTBUTTON_CLICKED,,,0,0
9,2023-11-16 14:16:04.478022,5b3f242f9c2ec600014ef9fc,0,None,apply_refine_search,,,,
10,2023-11-16 14:19:44.809320,5b3f242f9c2ec600014ef9fc,191683,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Age', 'value': '0.055'}, {'attribute': 'Owns Car', 'value': '0.052'}, {'attribute': 'Gender', 'value': '0.004'}, {'attribute': 'Occupation Type', 'value': '0.055'}, {'attribute': 'Number of children', 'value': '0.052'}, {'attribute': 'Employer organization', 'value': '0.054'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.042""},{""attribute"":""Income"",""value"":""0.058""},{""attribute"":""Loan Credit amount "",""value"":""0.058""},{""attribute"":""Loan annuity"",""value"":""0.048""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.038""},{""attribute"":""Age"",""value"":""0.052""},{""attribute"":""Years in current employment"",""value"":""0.058""},{""attribute"":""Years since changing registration"",""value"":""0.039""},{""attribute"":""Years since changing  identity document"",""value"":""0.015""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.004""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.006""},{""attribute"":""Has email"",""value"":""0.012""},{""attribute"":""Number of family members"",""value"":""0.016""},{""attribute"":""Region\'s Rating"",""value"":""0.007""},{""attribute"":""Region & City Rating"",""value"":""0.023""},{""attribute"":""Application Hour"",""value"":""0.023""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.003""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.009""},{""attribute"":""Work address in Registration city"",""value"":""0.004""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.01""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.004""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.004""},{""attribute"":""Years since changing phone"",""value"":""0.018""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.003""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.02""},{""attribute"":""Installments"",""value"":""0.004""},{""attribute"":""Gender"",""value"":""0.007""},{""attribute"":""Owns Car"",""value"":""0.042""},{""attribute"":""Owns Property"",""value"":""0.057""},{""attribute"":""Accompanied while applying"",""value"":""0.006""},{""attribute"":""Income type"",""value"":""0.056""},{""attribute"":""Highest education level"",""value"":""0.018""},{""attribute"":""Family status"",""value"":""0.034""},{""attribute"":""Housing situation"",""value"":""0.044""},{""attribute"":""Occupation Type"",""value"":""0.046""},{""attribute"":""Application Day"",""value"":""0.002""},{""attribute"":""Employer organization"",""value"":""0.024""}]'}",0,0
