serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-10 16:31:52.242982,5eceef5fa487421604c337ba,,,Login,,,,
2,2023-11-10 16:52:32.602896,5eceef5fa487421604c337ba,140135,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Owns Car', 'value': '0.021'}, {'attribute': 'Application Day', 'value': '0.006'}, {'attribute': 'Housing situation', 'value': '0.016'}, {'attribute': 'Income type', 'value': '0.034'}, {'attribute': 'Age', 'value': '0.066'}, {'attribute': 'Region & City Rating', 'value': '0.026'}, {'attribute': 'Employer organization', 'value': '0.029'}, {'attribute': 'Years since changing  identity document', 'value': '0.024'}, {'attribute': 'Number of family members', 'value': '0.029'}, {'attribute': 'Gender', 'value': '0.01'}, {'attribute': 'Has Mobile', 'value': '0'}, {'attribute': 'Years since changing phone', 'value': '0.01'}, {'attribute': 'Loan annuity', 'value': '0.049'}, {'attribute': 'Highest education level', 'value': '0.017'}, {'attribute': 'Owns Property', 'value': '0.041'}, {'attribute': 'Number of children', 'value': '0.034'}, {'attribute': 'Application Hour', 'value': '0.016'}, {'attribute': 'Occupation Type', 'value': '0.048'}, {'attribute': 'Family status', 'value': '0.036'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
3,2023-11-10 16:53:12.525571,5eceef5fa487421604c337ba,0,None,apply_refine_search,Age,18-25,,
4,2023-11-10 16:53:57.235300,5eceef5fa487421604c337ba,0,None,apply_refine_search,,,,
5,2023-11-10 16:54:04.192108,5eceef5fa487421604c337ba,0,None,apply_refine_search,,sdf,,
6,2023-11-10 16:54:12.154803,5eceef5fa487421604c337ba,0,None,apply_refine_search,,,,
7,2023-11-10 16:54:27.547359,5eceef5fa487421604c337ba,0,None,apply_refine_search,Accompanied while applying,Children,,
8,2023-11-10 16:54:30.346649,5eceef5fa487421604c337ba,0,None,apply_refine_search,Age,18-25,,
9,2023-11-10 16:54:33.242071,5eceef5fa487421604c337ba,0,None,apply_refine_search,Age,18-25,,
10,2023-11-10 16:55:22.796429,5eceef5fa487421604c337ba,283422,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.032""},{""attribute"":""Income"",""value"":""0.058""},{""attribute"":""Loan Credit amount "",""value"":""0.081""},{""attribute"":""Loan annuity"",""value"":""0.046""},{""attribute"":""Goods Price"",""value"":""0.054""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.052""},{""attribute"":""Age"",""value"":""0.062""},{""attribute"":""Years in current employment"",""value"":""0.052""},{""attribute"":""Years since changing registration"",""value"":""0.054""},{""attribute"":""Years since changing  identity document"",""value"":""0.022""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.008""},{""attribute"":""Has email"",""value"":""0.008""},{""attribute"":""Number of family members"",""value"":""0.027""},{""attribute"":""Region\'s Rating"",""value"":""0.01""},{""attribute"":""Region & City Rating"",""value"":""0.024""},{""attribute"":""Application Hour"",""value"":""0.015""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.012""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.01""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.014""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.009""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.028""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.009""},{""attribute"":""Owns Car"",""value"":""0.02""},{""attribute"":""Owns Property"",""value"":""0.038""},{""attribute"":""Accompanied while applying"",""value"":""0.008""},{""attribute"":""Income type"",""value"":""0.032""},{""attribute"":""Highest education level"",""value"":""0.016""},{""attribute"":""Family status"",""value"":""0.034""},{""attribute"":""Housing situation"",""value"":""0.015""},{""attribute"":""Occupation Type"",""value"":""0.045""},{""attribute"":""Application Day"",""value"":""0.006""},{""attribute"":""Employer organization"",""value"":""0.027""}]'}",0,0
