serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-10 11:44:32.436109,5f047d44d191116edb3cb798,,,Login,,,,
2,2023-11-10 11:52:43.042329,5f047d44d191116edb3cb798,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
3,2023-11-10 11:52:44.577055,5f047d44d191116edb3cb798,0,None,SORTING_CLICKED_Applications_List_Predicted Decision,None,descend,,
4,2023-11-10 11:52:59.880919,5f047d44d191116edb3cb798,0,None,apply_refine_search,Gender,Female,,
5,2023-11-10 11:53:07.189933,5f047d44d191116edb3cb798,295353,None,APPLICATIONROW_CLICKED_Applications_List,None,295353,None,None
6,2023-11-10 11:53:13.338586,5f047d44d191116edb3cb798,0,None,apply_refine_search,sdf,No Filter,,
7,2023-11-10 11:53:15.324769,5f047d44d191116edb3cb798,0,None,apply_refine_search,sdf,No Filter,,
8,2023-11-10 11:53:16.828003,5f047d44d191116edb3cb798,0,None,apply_refine_search,sdf,No Filter,,
9,2023-11-10 11:53:18.832556,5f047d44d191116edb3cb798,295353,None,APPLICATIONROW_CLICKED_Applications_List,None,295353,None,None
10,2023-11-10 11:53:19.548222,5f047d44d191116edb3cb798,295353,None,APPLICATIONROW_CLICKED_Applications_List,None,295353,None,None
11,2023-11-10 11:54:19.449151,5f047d44d191116edb3cb798,295353,None,APPLICATIONROW_CLICKED_Applications_List,None,295353,None,None
12,2023-11-10 11:54:20.594514,5f047d44d191116edb3cb798,389544,None,APPLICATIONROW_CLICKED_Applications_List,None,389544,None,None
13,2023-11-10 11:54:22.231550,5f047d44d191116edb3cb798,389544,None,APPLICATIONROW_CLICKED_Applications_List,None,389544,None,None
14,2023-11-10 11:55:36.649161,5f047d44d191116edb3cb798,389544,None,APPLICATIONROW_CLICKED_Applications_List,None,389544,None,None
15,2023-11-10 11:55:37.639384,5f047d44d191116edb3cb798,389544,None,APPLICATIONROW_CLICKED_Applications_List,None,389544,None,None
16,2023-11-10 11:55:37.812256,5f047d44d191116edb3cb798,389544,None,APPLICATIONROW_CLICKED_Applications_List,None,389544,None,None
17,2023-11-10 11:55:57.303353,5f047d44d191116edb3cb798,339438,None,APPLICATIONROW_CLICKED_Applications_List,None,339438,None,None
18,2023-11-10 11:55:58.307396,5f047d44d191116edb3cb798,339438,None,APPLICATIONROW_CLICKED_Applications_List,None,339438,None,None
