serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-10 16:27:58.445803,5f600669b846780f0fe45709,,,Login,,,,
2,2023-11-10 16:41:01.584896,5f600669b846780f0fe45709,0,None,apply_refine_search,Age,26-40,,
3,2023-11-10 16:42:04.996621,5f600669b846780f0fe45709,447461,None,APPLICATIONROW_CLICKED_Applications_List,None,447461,None,None
4,2023-11-10 16:42:07.391946,5f600669b846780f0fe45709,447461,None,APPLICATIONROW_CLICKED_Applications_List,None,447461,None,None
5,2023-11-10 16:42:15.251863,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
6,2023-11-10 16:42:16.949254,5f600669b846780f0fe45709,447461,None,APPLICATIONROW_CLICKED_Applications_List,None,447461,None,None
7,2023-11-10 16:42:47.106336,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
8,2023-11-10 16:42:47.821879,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
9,2023-11-10 16:42:48.984814,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
10,2023-11-10 16:42:50.536395,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
11,2023-11-10 16:42:51.418291,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
12,2023-11-10 16:42:52.575022,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
13,2023-11-10 16:42:52.649477,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
14,2023-11-10 16:42:52.760637,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
15,2023-11-10 16:42:54.256802,5f600669b846780f0fe45709,447461,None,APPLICATIONROW_CLICKED_Applications_List,None,447461,None,None
16,2023-11-10 16:42:59.451016,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
17,2023-11-10 16:43:01.782091,5f600669b846780f0fe45709,287940,None,APPLICATIONROW_CLICKED_Applications_List,None,287940,None,None
18,2023-11-10 16:43:03.569885,5f600669b846780f0fe45709,259225,None,APPLICATIONROW_CLICKED_Applications_List,None,259225,None,None
19,2023-11-10 16:43:05.750844,5f600669b846780f0fe45709,241835,None,APPLICATIONROW_CLICKED_Applications_List,None,241835,None,None
20,2023-11-10 16:43:09.480768,5f600669b846780f0fe45709,381135,None,APPLICATIONROW_CLICKED_Applications_List,None,381135,None,None
21,2023-11-10 16:43:10.165716,5f600669b846780f0fe45709,381135,None,APPLICATIONROW_CLICKED_Applications_List,None,381135,None,None
22,2023-11-10 16:43:24.245559,5f600669b846780f0fe45709,447461,None,APPLICATIONROW_CLICKED_Applications_List,None,447461,None,None
23,2023-11-10 16:43:26.651586,5f600669b846780f0fe45709,447461,None,APPLICATIONROW_CLICKED_Applications_List,None,447461,None,None
24,2023-11-10 16:43:41.556083,5f600669b846780f0fe45709,295353,None,APPLICATIONROW_CLICKED_Applications_List,None,295353,None,None
25,2023-11-10 16:44:00.873151,5f600669b846780f0fe45709,447461,None,APPLICATIONROW_CLICKED_Applications_List,None,447461,None,None
26,2023-11-10 16:44:26.715979,5f600669b846780f0fe45709,309668,None,APPLICATIONROW_CLICKED_Applications_List,None,309668,None,None
27,2023-11-10 16:44:28.773245,5f600669b846780f0fe45709,295353,None,APPLICATIONROW_CLICKED_Applications_List,None,295353,None,None
28,2023-11-10 16:44:33.236307,5f600669b846780f0fe45709,146414,None,APPLICATIONROW_CLICKED_Applications_List,None,146414,None,None
