serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-16 14:16:15.034373,602bfa74abe14141ae89b2fe,,,Login,,,,
2,2023-11-16 14:29:35.510913,602bfa74abe14141ae89b2fe,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,ascend,,
3,2023-11-16 14:29:36.388460,602bfa74abe14141ae89b2fe,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,descend,,
4,2023-11-16 14:31:33.435120,602bfa74abe14141ae89b2fe,270173,None,APPLICATIONROW_CLICKED_Applications_List,None,270173,None,None
5,2023-11-16 14:33:47.353064,602bfa74abe14141ae89b2fe,270173,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Years since changing  identity document', 'value': '0.026'}, {'attribute': 'Goods Price', 'value': '0.064'}, {'attribute': 'Owns Car', 'value': '0.001'}, {'attribute': 'Application Day', 'value': '0.001'}, {'attribute': 'Region & City Rating', 'value': '0.017'}, {'attribute': 'Years since changing phone', 'value': '0.003'}, {'attribute': 'Gender', 'value': '0.016'}, {'attribute': ""Region's Normalized Population"", 'value': '0.044'}, {'attribute': 'Highest education level', 'value': '0.029'}, {'attribute': 'Number of times social circle defaulted on loan for 30 days', 'value': '0.005'}, {'attribute': 'Application Hour', 'value': '0.018'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
6,2023-11-16 14:35:03.781007,602bfa74abe14141ae89b2fe,427794,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Application Hour', 'value': '0.005'}, {'attribute': 'Occupation Type', 'value': '0.023'}, {'attribute': 'Employer organization', 'value': '0.025'}, {'attribute': 'Highest education level', 'value': '0.021'}, {'attribute': ""Region's Normalized Population"", 'value': '0.043'}, {'attribute': 'Years since changing  identity document', 'value': '0.006'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.01""},{""attribute"":""Income"",""value"":""0.07""},{""attribute"":""Loan Credit amount "",""value"":""0.097""},{""attribute"":""Loan annuity"",""value"":""0.036""},{""attribute"":""Goods Price"",""value"":""0.072""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.05""},{""attribute"":""Age"",""value"":""0.076""},{""attribute"":""Years in current employment"",""value"":""0.063""},{""attribute"":""Years since changing registration"",""value"":""0.066""},{""attribute"":""Years since changing  identity document"",""value"":""0.029""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.007""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.01""},{""attribute"":""Has email"",""value"":""0.01""},{""attribute"":""Number of family members"",""value"":""0.008""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.02""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.005""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.015""},{""attribute"":""Work address in Registration city"",""value"":""0.007""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.012""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.006""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.008""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.007""},{""attribute"":""Years since changing phone"",""value"":""0.003""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.012""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.005""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.034""},{""attribute"":""Installments"",""value"":""0.008""},{""attribute"":""Gender"",""value"":""0.018""},{""attribute"":""Owns Car"",""value"":""0.001""},{""attribute"":""Owns Property"",""value"":""0.012""},{""attribute"":""Accompanied while applying"",""value"":""0.01""},{""attribute"":""Income type"",""value"":""0.017""},{""attribute"":""Highest education level"",""value"":""0.033""},{""attribute"":""Family status"",""value"":""0.019""},{""attribute"":""Housing situation"",""value"":""0.008""},{""attribute"":""Occupation Type"",""value"":""0.038""},{""attribute"":""Application Day"",""value"":""0.001""},{""attribute"":""Employer organization"",""value"":""0.041""}]'}",0,0
7,2023-11-16 14:38:53.128357,602bfa74abe14141ae89b2fe,198395,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [{'attribute': 'Years in current employment', 'value': '0.083'}, {'attribute': 'Income', 'value': '0.1'}, {'attribute': 'Age', 'value': '0.102'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.011""},{""attribute"":""Income"",""value"":""0.077""},{""attribute"":""Loan Credit amount "",""value"":""0.106""},{""attribute"":""Loan annuity"",""value"":""0.04""},{""attribute"":""Goods Price"",""value"":""0.079""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.047""},{""attribute"":""Age"",""value"":""0.083""},{""attribute"":""Years in current employment"",""value"":""0.069""},{""attribute"":""Years since changing registration"",""value"":""0.072""},{""attribute"":""Years since changing  identity document"",""value"":""0.007""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.008""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.011""},{""attribute"":""Has email"",""value"":""0.011""},{""attribute"":""Number of family members"",""value"":""0.009""},{""attribute"":""Region\'s Rating"",""value"":""0.013""},{""attribute"":""Region & City Rating"",""value"":""0.021""},{""attribute"":""Application Hour"",""value"":""0.005""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.005""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.016""},{""attribute"":""Work address in Registration city"",""value"":""0.008""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.013""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.007""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.009""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.008""},{""attribute"":""Years since changing phone"",""value"":""0.003""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.013""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.009""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.005""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.037""},{""attribute"":""Installments"",""value"":""0.009""},{""attribute"":""Gender"",""value"":""0.02""},{""attribute"":""Owns Car"",""value"":""0.001""},{""attribute"":""Owns Property"",""value"":""0.013""},{""attribute"":""Accompanied while applying"",""value"":""0.011""},{""attribute"":""Income type"",""value"":""0.019""},{""attribute"":""Highest education level"",""value"":""0.023""},{""attribute"":""Family status"",""value"":""0.021""},{""attribute"":""Housing situation"",""value"":""0.009""},{""attribute"":""Occupation Type"",""value"":""0.025""},{""attribute"":""Application Day"",""value"":""0.001""},{""attribute"":""Employer organization"",""value"":""0.027""}]'}",0,0
8,2023-11-16 14:40:44.116892,602bfa74abe14141ae89b2fe,392636,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Years since changing registration', 'value': '0.06'}, {'attribute': 'Years in current employment', 'value': '0.087'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.01""},{""attribute"":""Income"",""value"":""0.095""},{""attribute"":""Loan Credit amount "",""value"":""0.1""},{""attribute"":""Loan annuity"",""value"":""0.038""},{""attribute"":""Goods Price"",""value"":""0.075""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.045""},{""attribute"":""Age"",""value"":""0.097""},{""attribute"":""Years in current employment"",""value"":""0.079""},{""attribute"":""Years since changing registration"",""value"":""0.068""},{""attribute"":""Years since changing  identity document"",""value"":""0.007""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.008""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.01""},{""attribute"":""Has email"",""value"":""0.01""},{""attribute"":""Number of family members"",""value"":""0.009""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.02""},{""attribute"":""Application Hour"",""value"":""0.005""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.005""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.015""},{""attribute"":""Work address in Registration city"",""value"":""0.008""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.012""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.007""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.009""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.008""},{""attribute"":""Years since changing phone"",""value"":""0.003""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.012""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.009""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.005""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.035""},{""attribute"":""Installments"",""value"":""0.009""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.001""},{""attribute"":""Owns Property"",""value"":""0.012""},{""attribute"":""Accompanied while applying"",""value"":""0.01""},{""attribute"":""Income type"",""value"":""0.018""},{""attribute"":""Highest education level"",""value"":""0.022""},{""attribute"":""Family status"",""value"":""0.02""},{""attribute"":""Housing situation"",""value"":""0.009""},{""attribute"":""Occupation Type"",""value"":""0.024""},{""attribute"":""Application Day"",""value"":""0.001""},{""attribute"":""Employer organization"",""value"":""0.026""}]'}",0,0
9,2023-11-16 14:42:54.689240,602bfa74abe14141ae89b2fe,140135,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [{'attribute': 'Years since changing registration', 'value': '0.046'}, {'attribute': 'Years in current employment', 'value': '0.078'}, {'attribute': 'Loan annuity', 'value': '0.077'}, {'attribute': 'Goods Price', 'value': '0.068'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.01""},{""attribute"":""Income"",""value"":""0.095""},{""attribute"":""Loan Credit amount "",""value"":""0.1""},{""attribute"":""Loan annuity"",""value"":""0.038""},{""attribute"":""Goods Price"",""value"":""0.075""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.045""},{""attribute"":""Age"",""value"":""0.097""},{""attribute"":""Years in current employment"",""value"":""0.087""},{""attribute"":""Years since changing registration"",""value"":""0.06""},{""attribute"":""Years since changing  identity document"",""value"":""0.007""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.008""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.01""},{""attribute"":""Has email"",""value"":""0.01""},{""attribute"":""Number of family members"",""value"":""0.009""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.02""},{""attribute"":""Application Hour"",""value"":""0.005""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.005""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.015""},{""attribute"":""Work address in Registration city"",""value"":""0.008""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.012""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.007""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.009""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.008""},{""attribute"":""Years since changing phone"",""value"":""0.003""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.012""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.009""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.005""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.035""},{""attribute"":""Installments"",""value"":""0.009""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.001""},{""attribute"":""Owns Property"",""value"":""0.012""},{""attribute"":""Accompanied while applying"",""value"":""0.01""},{""attribute"":""Income type"",""value"":""0.018""},{""attribute"":""Highest education level"",""value"":""0.022""},{""attribute"":""Family status"",""value"":""0.02""},{""attribute"":""Housing situation"",""value"":""0.009""},{""attribute"":""Occupation Type"",""value"":""0.024""},{""attribute"":""Application Day"",""value"":""0.001""},{""attribute"":""Employer organization"",""value"":""0.026""}]'}",0,0
10,2023-11-16 14:43:39.741696,602bfa74abe14141ae89b2fe,220140,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.01""},{""attribute"":""Income"",""value"":""0.094""},{""attribute"":""Loan Credit amount "",""value"":""0.099""},{""attribute"":""Loan annuity"",""value"":""0.076""},{""attribute"":""Goods Price"",""value"":""0.067""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.044""},{""attribute"":""Age"",""value"":""0.096""},{""attribute"":""Years in current employment"",""value"":""0.077""},{""attribute"":""Years since changing registration"",""value"":""0.045""},{""attribute"":""Years since changing  identity document"",""value"":""0.007""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.008""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.01""},{""attribute"":""Has email"",""value"":""0.01""},{""attribute"":""Number of family members"",""value"":""0.009""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.02""},{""attribute"":""Application Hour"",""value"":""0.005""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.005""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.015""},{""attribute"":""Work address in Registration city"",""value"":""0.008""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.012""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.007""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.009""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.008""},{""attribute"":""Years since changing phone"",""value"":""0.003""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.012""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.009""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.005""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.035""},{""attribute"":""Installments"",""value"":""0.009""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.001""},{""attribute"":""Owns Property"",""value"":""0.012""},{""attribute"":""Accompanied while applying"",""value"":""0.01""},{""attribute"":""Income type"",""value"":""0.018""},{""attribute"":""Highest education level"",""value"":""0.022""},{""attribute"":""Family status"",""value"":""0.02""},{""attribute"":""Housing situation"",""value"":""0.009""},{""attribute"":""Occupation Type"",""value"":""0.024""},{""attribute"":""Application Day"",""value"":""0.001""},{""attribute"":""Employer organization"",""value"":""0.026""}]'}",0,0
