serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-10 16:28:54.705819,60a2541c0e5a829853aad745,,,Login,,,,
2,2023-11-10 16:42:28.516284,60a2541c0e5a829853aad745,0,None,apply_refine_search,Age,18-25,,
3,2023-11-10 16:42:33.054528,60a2541c0e5a829853aad745,0,None,apply_refine_search,,,,
4,2023-11-10 16:42:44.483048,60a2541c0e5a829853aad745,0,None,apply_refine_search,,sdf,,
5,2023-11-10 16:43:26.300144,60a2541c0e5a829853aad745,0,None,apply_refine_search,Has Mobile,Yes,,
6,2023-11-10 16:43:31.838338,60a2541c0e5a829853aad745,0,None,apply_refine_search,Has Mobile,No,,
7,2023-11-10 16:43:42.586693,60a2541c0e5a829853aad745,0,None,apply_refine_search,,,,
8,2023-11-10 16:43:47.397837,60a2541c0e5a829853aad745,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
9,2023-11-10 16:43:50.811860,60a2541c0e5a829853aad745,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
10,2023-11-10 16:45:00.203576,60a2541c0e5a829853aad745,0,None,SORTING_CLICKED_Application_Detail_Weight,None,ascend,,
11,2023-11-10 16:45:05.895334,60a2541c0e5a829853aad745,0,None,SORTING_CLICKED_Application_Detail_Weight,None,descend,,
12,2023-11-10 16:45:52.016701,60a2541c0e5a829853aad745,140135,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Age', 'value': '0.05'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
13,2023-11-10 16:46:13.888571,60a2541c0e5a829853aad745,146414,None,APPLICATIONROW_CLICKED_Applications_List,None,146414,None,None
14,2023-11-10 16:47:31.558979,60a2541c0e5a829853aad745,295353,None,APPLICATIONROW_CLICKED_Applications_List,None,295353,None,None
