serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-10 11:44:32.022024,60ddc4cc0a3f074060092937,,,Login,,,,
2,2023-11-10 11:47:47.413450,60ddc4cc0a3f074060092937,,,Login,,,,
3,2023-11-10 11:49:32.760362,60ddc4cc0a3f074060092937,140135,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
4,2023-11-10 11:50:17.519737,60ddc4cc0a3f074060092937,270173,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [{'attribute': 'Loan Credit amount ', 'value': '0.054'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.005""},{""attribute"":""Income"",""value"":""0.057""},{""attribute"":""Loan Credit amount "",""value"":""0.07""},{""attribute"":""Loan annuity"",""value"":""0.027""},{""attribute"":""Goods Price"",""value"":""0.057""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.044""},{""attribute"":""Age"",""value"":""0.053""},{""attribute"":""Years in current employment"",""value"":""0.044""},{""attribute"":""Years since changing registration"",""value"":""0.053""},{""attribute"":""Years since changing  identity document"",""value"":""0.06""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.005""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.004""},{""attribute"":""Has email"",""value"":""0.007""},{""attribute"":""Number of family members"",""value"":""0.004""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.018""},{""attribute"":""Application Hour"",""value"":""0.033""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.002""},{""attribute"":""Contact address located in work region"",""value"":""0.002""},{""attribute"":""Contact city in Registration city"",""value"":""0.009""},{""attribute"":""Work address in Registration city"",""value"":""0.016""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.016""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.018""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.009""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.005""},{""attribute"":""Years since changing phone"",""value"":""0.042""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.009""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.009""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.026""},{""attribute"":""Installments"",""value"":""0.009""},{""attribute"":""Gender"",""value"":""0.015""},{""attribute"":""Owns Car"",""value"":""0.02""},{""attribute"":""Owns Property"",""value"":""0.005""},{""attribute"":""Accompanied while applying"",""value"":""0.005""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.015""},{""attribute"":""Family status"",""value"":""0.02""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.035""},{""attribute"":""Application Day"",""value"":""0.024""},{""attribute"":""Employer organization"",""value"":""0.026""}]'}",0,0
5,2023-11-10 11:50:58.962563,60ddc4cc0a3f074060092937,447461,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.005""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.059""},{""attribute"":""Loan annuity"",""value"":""0.029""},{""attribute"":""Goods Price"",""value"":""0.062""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.048""},{""attribute"":""Age"",""value"":""0.058""},{""attribute"":""Years in current employment"",""value"":""0.048""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.066""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.005""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.004""},{""attribute"":""Has email"",""value"":""0.008""},{""attribute"":""Number of family members"",""value"":""0.004""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.02""},{""attribute"":""Application Hour"",""value"":""0.036""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.002""},{""attribute"":""Contact address located in work region"",""value"":""0.002""},{""attribute"":""Contact city in Registration city"",""value"":""0.01""},{""attribute"":""Work address in Registration city"",""value"":""0.017""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.017""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.02""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.01""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.005""},{""attribute"":""Years since changing phone"",""value"":""0.046""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.028""},{""attribute"":""Installments"",""value"":""0.01""},{""attribute"":""Gender"",""value"":""0.016""},{""attribute"":""Owns Car"",""value"":""0.022""},{""attribute"":""Owns Property"",""value"":""0.005""},{""attribute"":""Accompanied while applying"",""value"":""0.005""},{""attribute"":""Income type"",""value"":""0.016""},{""attribute"":""Highest education level"",""value"":""0.016""},{""attribute"":""Family status"",""value"":""0.022""},{""attribute"":""Housing situation"",""value"":""0.008""},{""attribute"":""Occupation Type"",""value"":""0.038""},{""attribute"":""Application Day"",""value"":""0.026""},{""attribute"":""Employer organization"",""value"":""0.028""}]'}",0,0
6,2023-11-10 11:51:57.438270,60ddc4cc0a3f074060092937,198395,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.005""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.059""},{""attribute"":""Loan annuity"",""value"":""0.029""},{""attribute"":""Goods Price"",""value"":""0.062""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.048""},{""attribute"":""Age"",""value"":""0.058""},{""attribute"":""Years in current employment"",""value"":""0.048""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.066""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.005""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.004""},{""attribute"":""Has email"",""value"":""0.008""},{""attribute"":""Number of family members"",""value"":""0.004""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.02""},{""attribute"":""Application Hour"",""value"":""0.036""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.002""},{""attribute"":""Contact address located in work region"",""value"":""0.002""},{""attribute"":""Contact city in Registration city"",""value"":""0.01""},{""attribute"":""Work address in Registration city"",""value"":""0.017""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.017""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.02""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.01""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.005""},{""attribute"":""Years since changing phone"",""value"":""0.046""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.028""},{""attribute"":""Installments"",""value"":""0.01""},{""attribute"":""Gender"",""value"":""0.016""},{""attribute"":""Owns Car"",""value"":""0.022""},{""attribute"":""Owns Property"",""value"":""0.005""},{""attribute"":""Accompanied while applying"",""value"":""0.005""},{""attribute"":""Income type"",""value"":""0.016""},{""attribute"":""Highest education level"",""value"":""0.016""},{""attribute"":""Family status"",""value"":""0.022""},{""attribute"":""Housing situation"",""value"":""0.008""},{""attribute"":""Occupation Type"",""value"":""0.038""},{""attribute"":""Application Day"",""value"":""0.026""},{""attribute"":""Employer organization"",""value"":""0.028""}]'}",0,0
7,2023-11-10 11:52:50.671192,60ddc4cc0a3f074060092937,427794,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.005""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.059""},{""attribute"":""Loan annuity"",""value"":""0.029""},{""attribute"":""Goods Price"",""value"":""0.062""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.048""},{""attribute"":""Age"",""value"":""0.058""},{""attribute"":""Years in current employment"",""value"":""0.048""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.066""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.005""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.004""},{""attribute"":""Has email"",""value"":""0.008""},{""attribute"":""Number of family members"",""value"":""0.004""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.02""},{""attribute"":""Application Hour"",""value"":""0.036""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.002""},{""attribute"":""Contact address located in work region"",""value"":""0.002""},{""attribute"":""Contact city in Registration city"",""value"":""0.01""},{""attribute"":""Work address in Registration city"",""value"":""0.017""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.017""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.02""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.01""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.005""},{""attribute"":""Years since changing phone"",""value"":""0.046""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.028""},{""attribute"":""Installments"",""value"":""0.01""},{""attribute"":""Gender"",""value"":""0.016""},{""attribute"":""Owns Car"",""value"":""0.022""},{""attribute"":""Owns Property"",""value"":""0.005""},{""attribute"":""Accompanied while applying"",""value"":""0.005""},{""attribute"":""Income type"",""value"":""0.016""},{""attribute"":""Highest education level"",""value"":""0.016""},{""attribute"":""Family status"",""value"":""0.022""},{""attribute"":""Housing situation"",""value"":""0.008""},{""attribute"":""Occupation Type"",""value"":""0.038""},{""attribute"":""Application Day"",""value"":""0.026""},{""attribute"":""Employer organization"",""value"":""0.028""}]'}",0,0
8,2023-11-10 11:53:48.315448,60ddc4cc0a3f074060092937,424463,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.005""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.059""},{""attribute"":""Loan annuity"",""value"":""0.029""},{""attribute"":""Goods Price"",""value"":""0.062""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.048""},{""attribute"":""Age"",""value"":""0.058""},{""attribute"":""Years in current employment"",""value"":""0.048""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.066""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.005""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.004""},{""attribute"":""Has email"",""value"":""0.008""},{""attribute"":""Number of family members"",""value"":""0.004""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.02""},{""attribute"":""Application Hour"",""value"":""0.036""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.002""},{""attribute"":""Contact address located in work region"",""value"":""0.002""},{""attribute"":""Contact city in Registration city"",""value"":""0.01""},{""attribute"":""Work address in Registration city"",""value"":""0.017""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.017""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.02""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.01""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.005""},{""attribute"":""Years since changing phone"",""value"":""0.046""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.028""},{""attribute"":""Installments"",""value"":""0.01""},{""attribute"":""Gender"",""value"":""0.016""},{""attribute"":""Owns Car"",""value"":""0.022""},{""attribute"":""Owns Property"",""value"":""0.005""},{""attribute"":""Accompanied while applying"",""value"":""0.005""},{""attribute"":""Income type"",""value"":""0.016""},{""attribute"":""Highest education level"",""value"":""0.016""},{""attribute"":""Family status"",""value"":""0.022""},{""attribute"":""Housing situation"",""value"":""0.008""},{""attribute"":""Occupation Type"",""value"":""0.038""},{""attribute"":""Application Day"",""value"":""0.026""},{""attribute"":""Employer organization"",""value"":""0.028""}]'}",0,0
9,2023-11-10 11:54:46.568763,60ddc4cc0a3f074060092937,135162,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.005""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.059""},{""attribute"":""Loan annuity"",""value"":""0.029""},{""attribute"":""Goods Price"",""value"":""0.062""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.048""},{""attribute"":""Age"",""value"":""0.058""},{""attribute"":""Years in current employment"",""value"":""0.048""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.066""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.005""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.004""},{""attribute"":""Has email"",""value"":""0.008""},{""attribute"":""Number of family members"",""value"":""0.004""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.02""},{""attribute"":""Application Hour"",""value"":""0.036""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.002""},{""attribute"":""Contact address located in work region"",""value"":""0.002""},{""attribute"":""Contact city in Registration city"",""value"":""0.01""},{""attribute"":""Work address in Registration city"",""value"":""0.017""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.017""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.02""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.01""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.005""},{""attribute"":""Years since changing phone"",""value"":""0.046""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.028""},{""attribute"":""Installments"",""value"":""0.01""},{""attribute"":""Gender"",""value"":""0.016""},{""attribute"":""Owns Car"",""value"":""0.022""},{""attribute"":""Owns Property"",""value"":""0.005""},{""attribute"":""Accompanied while applying"",""value"":""0.005""},{""attribute"":""Income type"",""value"":""0.016""},{""attribute"":""Highest education level"",""value"":""0.016""},{""attribute"":""Family status"",""value"":""0.022""},{""attribute"":""Housing situation"",""value"":""0.008""},{""attribute"":""Occupation Type"",""value"":""0.038""},{""attribute"":""Application Day"",""value"":""0.026""},{""attribute"":""Employer organization"",""value"":""0.028""}]'}",0,0
10,2023-11-10 11:55:21.533969,60ddc4cc0a3f074060092937,259225,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.005""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.059""},{""attribute"":""Loan annuity"",""value"":""0.029""},{""attribute"":""Goods Price"",""value"":""0.062""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.048""},{""attribute"":""Age"",""value"":""0.058""},{""attribute"":""Years in current employment"",""value"":""0.048""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.066""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.005""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.004""},{""attribute"":""Has email"",""value"":""0.008""},{""attribute"":""Number of family members"",""value"":""0.004""},{""attribute"":""Region\'s Rating"",""value"":""0.012""},{""attribute"":""Region & City Rating"",""value"":""0.02""},{""attribute"":""Application Hour"",""value"":""0.036""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.002""},{""attribute"":""Contact address located in work region"",""value"":""0.002""},{""attribute"":""Contact city in Registration city"",""value"":""0.01""},{""attribute"":""Work address in Registration city"",""value"":""0.017""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.017""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.02""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.01""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.005""},{""attribute"":""Years since changing phone"",""value"":""0.046""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.028""},{""attribute"":""Installments"",""value"":""0.01""},{""attribute"":""Gender"",""value"":""0.016""},{""attribute"":""Owns Car"",""value"":""0.022""},{""attribute"":""Owns Property"",""value"":""0.005""},{""attribute"":""Accompanied while applying"",""value"":""0.005""},{""attribute"":""Income type"",""value"":""0.016""},{""attribute"":""Highest education level"",""value"":""0.016""},{""attribute"":""Family status"",""value"":""0.022""},{""attribute"":""Housing situation"",""value"":""0.008""},{""attribute"":""Occupation Type"",""value"":""0.038""},{""attribute"":""Application Day"",""value"":""0.026""},{""attribute"":""Employer organization"",""value"":""0.028""}]'}",0,0
