serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-10 17:26:16.565013,61183bece4c3e63512e3eb5d,,,Login,,,,
2,2023-11-10 17:38:36.278803,61183bece4c3e63512e3eb5d,,,Login,,,,
3,2023-11-10 17:44:31.475600,61183bece4c3e63512e3eb5d,0,None,apply_refine_search,Income,<100K,,
4,2023-11-10 17:44:48.853923,61183bece4c3e63512e3eb5d,198395,None,APPLICATIONROW_CLICKED_Applications_List,None,198395,None,None
5,2023-11-10 17:44:49.461739,61183bece4c3e63512e3eb5d,198395,None,APPLICATIONROW_CLICKED_Applications_List,None,198395,None,None
6,2023-11-10 17:44:50.591434,61183bece4c3e63512e3eb5d,198395,None,APPLICATIONROW_CLICKED_Applications_List,None,198395,None,None
7,2023-11-10 17:45:12.599233,61183bece4c3e63512e3eb5d,198395,None,APPLICATIONROW_CLICKED_Applications_List,None,198395,None,None
8,2023-11-10 17:45:12.608713,61183bece4c3e63512e3eb5d,287940,None,APPLICATIONROW_CLICKED_Applications_List,None,287940,None,None
9,2023-11-10 17:45:24.653126,61183bece4c3e63512e3eb5d,287940,None,APPLICATIONROW_CLICKED_Applications_List,None,287940,None,None
10,2023-11-10 17:45:31.071799,61183bece4c3e63512e3eb5d,283422,None,APPLICATIONROW_CLICKED_Applications_List,None,283422,None,None
11,2023-11-10 17:46:22.475600,61183bece4c3e63512e3eb5d,198395,None,APPLICATIONROW_CLICKED_Applications_List,None,198395,None,None
12,2023-11-10 17:46:29.131280,61183bece4c3e63512e3eb5d,287940,None,APPLICATIONROW_CLICKED_Applications_List,None,287940,None,None
13,2023-11-10 17:46:30.921241,61183bece4c3e63512e3eb5d,198395,None,APPLICATIONROW_CLICKED_Applications_List,None,198395,None,None
