serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-16 13:08:14.017996,61641a12f14a6f1b08edd5bf,,,Login,,,,
2,2023-11-16 13:18:45.366864,61641a12f14a6f1b08edd5bf,140135,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
3,2023-11-16 13:19:56.714874,61641a12f14a6f1b08edd5bf,270173,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
4,2023-11-16 13:20:19.218213,61641a12f14a6f1b08edd5bf,198395,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
5,2023-11-16 13:20:47.982116,61641a12f14a6f1b08edd5bf,447461,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
6,2023-11-16 13:21:11.509429,61641a12f14a6f1b08edd5bf,427794,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.016""},{""attribute"":""Income"",""value"":""0.029""},{""attribute"":""Loan Credit amount "",""value"":""0.073""},{""attribute"":""Loan annuity"",""value"":""0.035""},{""attribute"":""Goods Price"",""value"":""0.057""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.057""},{""attribute"":""Age"",""value"":""0.063""},{""attribute"":""Years in current employment"",""value"":""0.061""},{""attribute"":""Years since changing registration"",""value"":""0.045""},{""attribute"":""Years since changing  identity document"",""value"":""0.041""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.008""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.008""},{""attribute"":""Has email"",""value"":""0.012""},{""attribute"":""Number of family members"",""value"":""0.006""},{""attribute"":""Region\'s Rating"",""value"":""0.006""},{""attribute"":""Region & City Rating"",""value"":""0.014""},{""attribute"":""Application Hour"",""value"":""0.022""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.018""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0.006""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.016""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.008""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.008""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.008""},{""attribute"":""Years since changing phone"",""value"":""0.024""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.014""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.033""},{""attribute"":""Installments"",""value"":""0.012""},{""attribute"":""Gender"",""value"":""0.016""},{""attribute"":""Owns Car"",""value"":""0.024""},{""attribute"":""Owns Property"",""value"":""0.006""},{""attribute"":""Accompanied while applying"",""value"":""0.014""},{""attribute"":""Income type"",""value"":""0.01""},{""attribute"":""Highest education level"",""value"":""0.012""},{""attribute"":""Family status"",""value"":""0.014""},{""attribute"":""Housing situation"",""value"":""0.008""},{""attribute"":""Occupation Type"",""value"":""0.027""},{""attribute"":""Application Day"",""value"":""0.012""},{""attribute"":""Employer organization"",""value"":""0.024""}]'}",0,0
7,2023-11-16 13:21:34.922527,61641a12f14a6f1b08edd5bf,259225,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.016""},{""attribute"":""Income"",""value"":""0.029""},{""attribute"":""Loan Credit amount "",""value"":""0.073""},{""attribute"":""Loan annuity"",""value"":""0.035""},{""attribute"":""Goods Price"",""value"":""0.057""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.057""},{""attribute"":""Age"",""value"":""0.063""},{""attribute"":""Years in current employment"",""value"":""0.061""},{""attribute"":""Years since changing registration"",""value"":""0.045""},{""attribute"":""Years since changing  identity document"",""value"":""0.041""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.008""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.008""},{""attribute"":""Has email"",""value"":""0.012""},{""attribute"":""Number of family members"",""value"":""0.006""},{""attribute"":""Region\'s Rating"",""value"":""0.006""},{""attribute"":""Region & City Rating"",""value"":""0.014""},{""attribute"":""Application Hour"",""value"":""0.022""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.018""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0.006""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.016""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.008""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.008""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.008""},{""attribute"":""Years since changing phone"",""value"":""0.024""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.014""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.033""},{""attribute"":""Installments"",""value"":""0.012""},{""attribute"":""Gender"",""value"":""0.016""},{""attribute"":""Owns Car"",""value"":""0.024""},{""attribute"":""Owns Property"",""value"":""0.006""},{""attribute"":""Accompanied while applying"",""value"":""0.014""},{""attribute"":""Income type"",""value"":""0.01""},{""attribute"":""Highest education level"",""value"":""0.012""},{""attribute"":""Family status"",""value"":""0.014""},{""attribute"":""Housing situation"",""value"":""0.008""},{""attribute"":""Occupation Type"",""value"":""0.027""},{""attribute"":""Application Day"",""value"":""0.012""},{""attribute"":""Employer organization"",""value"":""0.024""}]'}",0,0
8,2023-11-16 13:21:50.161097,61641a12f14a6f1b08edd5bf,135162,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.013""},{""attribute"":""Income"",""value"":""0.048""},{""attribute"":""Loan Credit amount "",""value"":""0.082""},{""attribute"":""Loan annuity"",""value"":""0.04""},{""attribute"":""Goods Price"",""value"":""0.044""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.053""},{""attribute"":""Age"",""value"":""0.055""},{""attribute"":""Years in current employment"",""value"":""0.051""},{""attribute"":""Years since changing registration"",""value"":""0.038""},{""attribute"":""Years since changing  identity document"",""value"":""0.049""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.008""},{""attribute"":""Has email"",""value"":""0.006""},{""attribute"":""Number of family members"",""value"":""0.006""},{""attribute"":""Region\'s Rating"",""value"":""0.01""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.025""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.0""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.011""},{""attribute"":""Work address in Registration city"",""value"":""0.011""},{""attribute"":""Contact city in work city"",""value"":""0.006""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.008""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.004""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.013""},{""attribute"":""Years since changing phone"",""value"":""0.053""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.0""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.017""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.015""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.023""},{""attribute"":""Installments"",""value"":""0.008""},{""attribute"":""Gender"",""value"":""0.015""},{""attribute"":""Owns Car"",""value"":""0.015""},{""attribute"":""Owns Property"",""value"":""0.004""},{""attribute"":""Accompanied while applying"",""value"":""0.015""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.023""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.015""},{""attribute"":""Occupation Type"",""value"":""0.029""},{""attribute"":""Application Day"",""value"":""0.025""},{""attribute"":""Employer organization"",""value"":""0.029""}]'}",0,0
9,2023-11-16 13:22:04.754238,61641a12f14a6f1b08edd5bf,381135,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.013""},{""attribute"":""Income"",""value"":""0.048""},{""attribute"":""Loan Credit amount "",""value"":""0.082""},{""attribute"":""Loan annuity"",""value"":""0.04""},{""attribute"":""Goods Price"",""value"":""0.044""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.053""},{""attribute"":""Age"",""value"":""0.055""},{""attribute"":""Years in current employment"",""value"":""0.051""},{""attribute"":""Years since changing registration"",""value"":""0.038""},{""attribute"":""Years since changing  identity document"",""value"":""0.049""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.008""},{""attribute"":""Has email"",""value"":""0.006""},{""attribute"":""Number of family members"",""value"":""0.006""},{""attribute"":""Region\'s Rating"",""value"":""0.01""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.025""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.0""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.011""},{""attribute"":""Work address in Registration city"",""value"":""0.011""},{""attribute"":""Contact city in work city"",""value"":""0.006""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.008""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.004""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.013""},{""attribute"":""Years since changing phone"",""value"":""0.053""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.0""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.017""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.015""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.023""},{""attribute"":""Installments"",""value"":""0.008""},{""attribute"":""Gender"",""value"":""0.015""},{""attribute"":""Owns Car"",""value"":""0.015""},{""attribute"":""Owns Property"",""value"":""0.004""},{""attribute"":""Accompanied while applying"",""value"":""0.015""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.023""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.015""},{""attribute"":""Occupation Type"",""value"":""0.029""},{""attribute"":""Application Day"",""value"":""0.025""},{""attribute"":""Employer organization"",""value"":""0.029""}]'}",0,0
10,2023-11-16 13:22:22.673062,61641a12f14a6f1b08edd5bf,421722,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.013""},{""attribute"":""Income"",""value"":""0.048""},{""attribute"":""Loan Credit amount "",""value"":""0.082""},{""attribute"":""Loan annuity"",""value"":""0.04""},{""attribute"":""Goods Price"",""value"":""0.044""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.053""},{""attribute"":""Age"",""value"":""0.055""},{""attribute"":""Years in current employment"",""value"":""0.051""},{""attribute"":""Years since changing registration"",""value"":""0.038""},{""attribute"":""Years since changing  identity document"",""value"":""0.049""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.008""},{""attribute"":""Has email"",""value"":""0.006""},{""attribute"":""Number of family members"",""value"":""0.006""},{""attribute"":""Region\'s Rating"",""value"":""0.01""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.025""},{""attribute"":""Contact address located in Registration region"",""value"":""0.0""},{""attribute"":""Work address located in Registration region"",""value"":""0.0""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.011""},{""attribute"":""Work address in Registration city"",""value"":""0.011""},{""attribute"":""Contact city in work city"",""value"":""0.006""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.008""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.004""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.013""},{""attribute"":""Years since changing phone"",""value"":""0.053""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.008""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.0""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.017""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.015""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.023""},{""attribute"":""Installments"",""value"":""0.008""},{""attribute"":""Gender"",""value"":""0.015""},{""attribute"":""Owns Car"",""value"":""0.015""},{""attribute"":""Owns Property"",""value"":""0.004""},{""attribute"":""Accompanied while applying"",""value"":""0.015""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.023""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.015""},{""attribute"":""Occupation Type"",""value"":""0.029""},{""attribute"":""Application Day"",""value"":""0.025""},{""attribute"":""Employer organization"",""value"":""0.029""}]'}",0,0
