serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-16 13:08:17.857516,62fb804a737937835d963c8b,,,Login,,,,
2,2023-11-16 13:17:02.723164,62fb804a737937835d963c8b,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,ascend,,
3,2023-11-16 13:17:04.181862,62fb804a737937835d963c8b,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,descend,,
4,2023-11-16 13:17:05.563413,62fb804a737937835d963c8b,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,,,
5,2023-11-16 13:17:06.695866,62fb804a737937835d963c8b,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,ascend,,
6,2023-11-16 13:17:08.030591,62fb804a737937835d963c8b,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,descend,,
7,2023-11-16 13:17:10.193096,62fb804a737937835d963c8b,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,,,
8,2023-11-16 13:21:27.030630,62fb804a737937835d963c8b,140135,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Application Day', 'value': '0'}, {'attribute': 'Number of times social circle defaulted on loan for 30 days', 'value': '0'}, {'attribute': 'Income type', 'value': '0.05'}, {'attribute': 'Number of Credit Bureau enquiries 1 week before application', 'value': '0'}, {'attribute': 'Employer organization', 'value': '0.055'}, {'attribute': 'Accompanied while applying', 'value': '0'}, {'attribute': 'Number of family members', 'value': '0'}, {'attribute': 'Contact city in Registration city', 'value': '0.006'}, {'attribute': 'Work address in Registration city', 'value': '0.001'}, {'attribute': 'Loan annuity', 'value': '0.069'}, {'attribute': 'Installments', 'value': '0.044'}, {'attribute': 'Mobile reachable', 'value': '0.023'}, {'attribute': 'Has Phone', 'value': '0.006'}, {'attribute': 'Number of times social circle at default risk for 30 days', 'value': '0.006'}, {'attribute': ""Region's Normalized Population"", 'value': '0.027'}, {'attribute': 'Number of Credit Bureau enquiries 1 year before application', 'value': '0.031'}, {'attribute': 'Family status', 'value': '0'}, {'attribute': 'Owns Car', 'value': '0.01'}, {'attribute': 'Number of times social circle were at risk to default on loan for 60 days', 'value': '0'}, {'attribute': 'Years since changing registration', 'value': '0.03'}, {'attribute': 'Number of Credit Bureau enquiries 1 day before application', 'value': '0.008'}, {'attribute': 'Housing situation', 'value': '0'}, {'attribute': 'Has email', 'value': '0.006'}, {'attribute': ""Region's Rating"", 'value': '0.006'}, {'attribute': 'Years in current employment', 'value': '0.033'}, {'attribute': 'Age', 'value': '0.043'}, {'attribute': 'Goods Price', 'value': '0.03'}, {'attribute': 'Region & City Rating', 'value': '0.014'}, {'attribute': 'Years since changing  identity document', 'value': '0.034'}, {'attribute': 'Gender', 'value': '0'}, {'attribute': 'Years since changing phone', 'value': '0.012'}, {'attribute': 'Highest education level', 'value': '0.024'}, {'attribute': 'Income', 'value': '0.078'}, {'attribute': 'Has Work Phone', 'value': '0.003'}, {'attribute': 'Application Hour', 'value': '0.005'}, {'attribute': 'Occupation Type', 'value': '0.043'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
9,2023-11-16 13:22:07.038098,62fb804a737937835d963c8b,0,None,SORTING_CLICKED_Applications_List_Predicted Decision,None,descend,,
10,2023-11-16 13:24:37.184432,62fb804a737937835d963c8b,295353,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,unfair,"{'changed_weights': [{'attribute': 'Goods Price', 'value': '0.057'}, {'attribute': ""Region's Normalized Population"", 'value': '0.016'}, {'attribute': 'Owns Property', 'value': '0.009'}, {'attribute': 'Highest education level', 'value': '0.017'}, {'attribute': 'Owns Car', 'value': '0.009'}, {'attribute': 'Years since changing phone', 'value': '0.011'}, {'attribute': 'Years since changing  identity document', 'value': '0.019'}, {'attribute': 'Years since changing registration', 'value': '0.02'}, {'attribute': 'Occupation Type', 'value': '0.037'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.011""},{""attribute"":""Income"",""value"":""0.094""},{""attribute"":""Loan Credit amount "",""value"":""0.103""},{""attribute"":""Loan annuity"",""value"":""0.083""},{""attribute"":""Goods Price"",""value"":""0.036""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.032""},{""attribute"":""Age"",""value"":""0.052""},{""attribute"":""Years in current employment"",""value"":""0.04""},{""attribute"":""Years since changing registration"",""value"":""0.036""},{""attribute"":""Years since changing  identity document"",""value"":""0.041""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.004""},{""attribute"":""Mobile reachable"",""value"":""0.028""},{""attribute"":""Has Phone"",""value"":""0.007""},{""attribute"":""Has email"",""value"":""0.007""},{""attribute"":""Number of family members"",""value"":""0.0""},{""attribute"":""Region\'s Rating"",""value"":""0.007""},{""attribute"":""Region & City Rating"",""value"":""0.017""},{""attribute"":""Application Hour"",""value"":""0.006""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.005""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.007""},{""attribute"":""Work address in Registration city"",""value"":""0.001""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.0""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.0""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.007""},{""attribute"":""Years since changing phone"",""value"":""0.014""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.01""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.0""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.005""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.037""},{""attribute"":""Installments"",""value"":""0.053""},{""attribute"":""Gender"",""value"":""0.0""},{""attribute"":""Owns Car"",""value"":""0.012""},{""attribute"":""Owns Property"",""value"":""0.013""},{""attribute"":""Accompanied while applying"",""value"":""0.0""},{""attribute"":""Income type"",""value"":""0.06""},{""attribute"":""Highest education level"",""value"":""0.029""},{""attribute"":""Family status"",""value"":""0.0""},{""attribute"":""Housing situation"",""value"":""0.0""},{""attribute"":""Occupation Type"",""value"":""0.052""},{""attribute"":""Application Day"",""value"":""0.0""},{""attribute"":""Employer organization"",""value"":""0.066""}]'}",0,0
