serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-10 16:00:24.210511,6507355f07adea6bb9abb279,,,Login,,,,
2,2023-11-10 16:05:26.892469,6507355f07adea6bb9abb279,0,None,apply_refine_search,Contact city in work city,Same,,
3,2023-11-10 16:05:44.085867,6507355f07adea6bb9abb279,0,None,apply_refine_search,Highest education level,Higher education,,
4,2023-11-10 16:05:45.281625,6507355f07adea6bb9abb279,0,None,apply_refine_search,Highest education level,Higher education,,
5,2023-11-10 16:05:50.516588,6507355f07adea6bb9abb279,0,None,apply_refine_search,Highest education level,Secondary / secondary special,,
6,2023-11-10 16:05:51.487290,6507355f07adea6bb9abb279,0,None,apply_refine_search,Highest education level,Secondary / secondary special,,
7,2023-11-10 16:05:53.801101,6507355f07adea6bb9abb279,0,None,apply_refine_search,,,,
8,2023-11-10 16:05:57.417248,6507355f07adea6bb9abb279,0,None,apply_refine_search,,sdf,,
9,2023-11-10 16:06:01.890817,6507355f07adea6bb9abb279,0,None,apply_refine_search,Has Mobile,Yes,,
10,2023-11-10 16:06:07.852408,6507355f07adea6bb9abb279,0,None,apply_refine_search,Gender,Female,,
11,2023-11-10 16:06:23.636566,6507355f07adea6bb9abb279,270173,None,APPLICATIONROW_CLICKED_Applications_List,None,270173,None,None
12,2023-11-10 16:06:23.739295,6507355f07adea6bb9abb279,270173,None,APPLICATIONROW_CLICKED_Applications_List,None,270173,None,None
13,2023-11-10 16:06:23.913235,6507355f07adea6bb9abb279,270173,None,APPLICATIONROW_CLICKED_Applications_List,None,270173,None,None
