,Application,Total,Mean,Std,Number of Participants Viewed
0,140135,74,1.45,2.52,24
1,270173,40,0.78,1.32,20
2,198395,36,0.71,1.35,16
3,447461,33,0.65,1.32,17
4,295353,30,0.59,1.59,11
5,259225,29,0.57,1.6,16
6,287940,24,0.47,1.62,11
7,339438,24,0.47,2.27,7
8,427794,23,0.45,1.1,12
9,389544,19,0.37,0.98,12
10,146414,14,0.27,0.83,8
11,140034,14,0.27,1.18,5
12,380727,14,0.27,1.15,4
13,241835,14,0.27,0.8,7
14,381135,14,0.27,0.7,10
15,191683,13,0.25,0.69,8
16,135162,12,0.24,0.47,11
17,421722,11,0.22,0.5,9
18,259293,10,0.2,0.75,6
19,140328,9,0.18,0.52,6
20,372948,7,0.14,0.72,3
21,196014,7,0.14,0.49,5
22,283422,7,0.14,0.45,5
23,424463,7,0.14,0.98,1
24,319536,6,0.12,0.71,2
25,392636,6,0.12,0.38,5
26,215083,6,0.12,0.43,4
27,415717,6,0.12,0.33,6
28,141704,6,0.12,0.33,6
29,154782,6,0.12,0.43,4
30,272131,5,0.1,0.46,3
31,220140,5,0.1,0.36,4
32,235876,5,0.1,0.57,2
33,452591,4,0.08,0.56,1
34,289390,4,0.08,0.27,4
35,149290,4,0.08,0.34,3
36,346327,4,0.08,0.39,2
37,309845,4,0.08,0.34,3
38,185589,4,0.08,0.27,4
39,168467,4,0.08,0.34,3
40,168687,4,0.08,0.34,3
41,177498,4,0.08,0.34,3
42,198826,4,0.08,0.39,2
43,309668,4,0.08,0.34,3
44,425359,3,0.06,0.31,2
45,379292,3,0.06,0.24,3
46,364784,3,0.06,0.24,3
47,357299,3,0.06,0.31,2
48,401560,3,0.06,0.24,3
49,397412,3,0.06,0.24,3
50,102569,3,0.06,0.42,1
51,266877,3,0.06,0.24,3
52,167040,3,0.06,0.31,2
53,191831,3,0.06,0.24,3
54,287598,3,0.06,0.24,3
55,220399,3,0.06,0.24,3
56,280595,3,0.06,0.24,3
57,144438,3,0.06,0.31,2
58,223441,2,0.04,0.28,1
59,182444,2,0.04,0.28,1
60,395780,2,0.04,0.2,2
61,211610,2,0.04,0.2,2
62,310228,2,0.04,0.2,2
63,424619,2,0.04,0.28,1
64,161718,2,0.04,0.2,2
65,273227,2,0.04,0.2,2
66,176678,2,0.04,0.28,1
67,278764,2,0.04,0.2,2
68,440137,2,0.04,0.2,2
69,353533,2,0.04,0.2,2
70,353503,2,0.04,0.2,2
71,298461,2,0.04,0.28,1
72,317058,2,0.04,0.2,2
73,182311,2,0.04,0.2,2
74,427561,1,0.02,0.14,1
75,124707,1,0.02,0.14,1
76,120401,1,0.02,0.14,1
77,303514,1,0.02,0.14,1
78,402627,1,0.02,0.14,1
79,254952,1,0.02,0.14,1
80,379819,1,0.02,0.14,1
81,377777,1,0.02,0.14,1
82,371171,1,0.02,0.14,1
83,358985,1,0.02,0.14,1
84,120323,1,0.02,0.14,1
85,333010,1,0.02,0.14,1
86,454644,1,0.02,0.14,1
