,Participant,Total_unfair_Ratings
0,5d9b4e21b56c51035c35cb3d,22
1,5fafea489c356e2e060a60f7,21
2,5e209e63f814783b253a93ed,17
3,61641a12f14a6f1b08edd5bf,14
4,60b7bb77c573c1a28d072811,14
5,61684bae4ac887b438246ff6,13
6,654d4401d386722f1c6bddf1,12
7,60ddc4cc0a3f074060092937,12
8,605b98c83da1ded576bcf096,12
9,5f3e95436fa4350dadcfbfeb,12
10,6507355f07adea6bb9abb279,12
11,5eceef5fa487421604c337ba,11
12,614d6d63ffaa9be82c464151,10
13,6107aa76ee9845023fb0cb80,9
14,62fb804a737937835d963c8b,9
15,610658bb4a9082015088fa3c,9
16,5be1c7de91deed00015a97b9,9
17,5fdb9ccbe6b281016f79a732,8
18,5e692a511f156a1e4aa18f70,8
19,611513d0ab9d61f4053c4c8e,8
20,6509ee73a973beda35b3a29e,8
21,61128d38f512d6800205d192,7
22,60febbf6684ed23d1eec2db6,7
23,6116920ff5bcc6aa24f00927,7
24,61183bece4c3e63512e3eb5d,7
25,611e2078cadc8161a119af67,6
26,5f913cbf314c3d000982e130,6
27,6162d95040a3fa68f76451be,6
28,5c8bafb53b6f3d00013d7c30,5
29,65257c1a7780ceee7f6ef9bd,5
30,615a10906193d263fd02c670,5
31,5f047d44d191116edb3cb798,5
32,611c3819eac3c026d338c054,4
33,611d06c0bcc92ba3d7669ef6,4
34,6136cb52db0f1cb2262bbf5d,4
35,608ab7f46594ee2bcc835f69,4
36,5f60713e595007000a8e1da7,4
37,6505e1d7baa4d89f7a2f3b53,4
38,654ce65838678c566569c723,4
39,63ced242b56ce9d796f4398b,3
40,65046ab60ee62c5c2a6d8463,3
41,6511fd9e06231927b6398700,3
42,65296d538ca4cc9d14c129aa,3
43,64f9f86e6bf2358fd13945f1,3
44,55c333b0fdf99b1dbd2131bd,3
45,602bfa74abe14141ae89b2fe,3
46,60a3a03bc01ba594c9cca88d,3
47,60513ec07ee46769ed029be4,3
48,60a2541c0e5a829853aad745,3
49,60fac4840835c496850e2267,3
50,60c442aafa8afba1988e2ba0,2
51,611d0c64d70a6d9fcd11440b,2
52,5fad5482f2e5c201d4a5cd76,2
53,5f600669b846780f0fe45709,2
54,5d4dbe7df20feb00010b596d,2
55,5b3f242f9c2ec600014ef9fc,2
56,5ad63c167f70c10001904bc5,2
57,61267b828ead584bcf092e35,2
58,60d336e24fbd4089351d3785,1
59,57fe6296035f6e0001d71d05,1
60,6234857563ccaf842e470196,0
61,60f06a479c4f3ec0a536d40a,0
62,5f1c55c8ea92af4d99d03137,0
63,65215a6b71c92df9d8c659ea,0
64,5b222aff59f9620001c109cb,0
65,5a820545b093f80001a7bcbc,0
