Participant_ID,PreQ1,PreQ2,PreQ3,PreQ3Text,PostQ1,PostQ2,PostQ3,PostQ4,PostQ5,PostQ6,PostQ7,PostQ8,PostQ9,PostQ10,PostQ11,PostQ12,PostQ12Text,PostQ13,PostQ13Text,PostQ14,nasaTLX_Mental Demand,nasaTLX_Physical Demand,nasaTLX_Temporal Demand,nasaTLX_Performance,nasaTLX_Effort,nasaTLX_Frustration
55c333b0fdf99b1dbd2131bd,"['I have some familiarity with machine learning, artificial intelligence or statistics']",4,"People will be treated the same whether they are protected by law (e.g. gender, age, etc.) or not",,4,5,2,3,4,5,4,4,4,4,Carrot Juice,"['Checking the DPR Fairness metric', 'Looking at the value distributions for attributes for loan applications decisions', 'Sorting/Filtering applications and looking at patterns of accepting/rejecting applications', 'Looking at specific applications and making intuitive judgements']",,"['Looking at the value distributions for attributes for loan applications decisions', 'Looking at specific applications and making intuitive judgements']",,I honestly thought it was pretty great. especially after my adjustments. It kept getting better and better quickly. Overall i dont think i have anything negative to say about it really. Probably not even a suggestion.,14,6,8,12,12,1
57fe6296035f6e0001d71d05,"['I have programming experience', 'I have some familiarity with machine learning, artificial intelligence or statistics']",4,Similar people will be treated in the same way,,4,4,3,4,2,2,3,3,3,3,Carrot Juice,['Looking at the value distributions for attributes for loan applications decisions'],,"['Looking at the value distributions for attributes for loan applications decisions', 'Sorting/Filtering applications and looking at patterns of accepting/rejecting applications']",,"I think we had enough data to provide an answer, however I thought that the interface was a bit confusing sometimes",18,1,17,11,17,15
5a820545b093f80001a7bcbc,"['I have some familiarity with machine learning, artificial intelligence or statistics']",4,"Different groups of people who are protected by law (e.g., gender, age, etc) will not be disproportionally disadvantaged",,4,3,3,3,4,3,4,4,1,3,Carrot Juice,"['Checking the DPR Fairness metric', 'Checking the AOD fairness metric', 'Sorting/Filtering applications and looking at patterns of accepting/rejecting applications']",,['Sorting/Filtering applications and looking at patterns of accepting/rejecting applications'],,,20,2,18,12,13,18
5ad63c167f70c10001904bc5,"['I have programming experience', 'I have some familiarity with machine learning, artificial intelligence or statistics']",4,"Different groups of people who are protected by law (e.g., gender, age, etc) will not be disproportionally disadvantaged",,1,3,1,1,5,2,2,2,2,2,Carrot Juice,"['Checking the DPR Fairness metric', 'Looking at the value distributions for attributes for loan applications decisions', 'Sorting/Filtering applications and looking at patterns of accepting/rejecting applications', 'Looking at specific applications and making intuitive judgements']",,"['Looking at the value distributions for attributes for loan applications decisions', 'Looking at specific applications and making intuitive judgements']",,"I felt very confused while using it, especially when I tried to edit some parameters and the model didn't change according to my expectations",21,21,21,2,17,21
5b222aff59f9620001c109cb,,4,Similar people will be treated in the same way,,5,3,4,2,4,4,4,3,2,2,Carrot Juice,"['Sorting/Filtering applications and looking at patterns of accepting/rejecting applications', 'Looking at specific applications and making intuitive judgements']",,['Looking at specific applications and making intuitive judgements'],,i think it provided all info needed for judging,21,19,21,16,21,17
5b3f242f9c2ec600014ef9fc,"['I have programming experience', 'I have some familiarity with machine learning, artificial intelligence or statistics']",4,"People will be treated the same whether they are protected by law (e.g. gender, age, etc.) or not",,3,2,3,2,3,2,4,2,3,2,Carrot Juice,"['Sorting/Filtering applications and looking at patterns of accepting/rejecting applications', 'Looking at specific applications and making intuitive judgements']",,"['Sorting/Filtering applications and looking at patterns of accepting/rejecting applications', 'Looking at specific applications and making intuitive judgements']",,"I wish I had more info on the etnicity of the candidate, maybe even see a picture of him/her. I know it may sound racist but, I use my guts to evaluate if a person can be trusted or not, I look the person in the eyes and then I make up my mind quite soon. This is my method. The data you provided are quite detailed but, they do not trigger my sixth sense. The system is okay if it is addressed to AI, I am a human and I need to feel the human touch to come up with a reliable decision. I need more personal data, something that can help me figuring out who this person really is. I loved the filtering option, it's extremely useful. Some of the data you provided, mostly the ones at the end of the form, appear to be redundant and useless, I'd get rid of some of them. Reading all that data is challenging and requires time, you need to remember all the info before deciding, it can be frustrating for a human being, I personally experienced the feeling while working on the task.",21,1,11,11,21,18
5be1c7de91deed00015a97b9,['I have programming experience'],4,"People will be treated the same whether they are protected by law (e.g. gender, age, etc.) or not",,2,2,1,1,4,4,3,2,3,3,Carrot Juice,"['Sorting/Filtering applications and looking at patterns of accepting/rejecting applications', 'Looking at specific applications and making intuitive judgements']",,"['Sorting/Filtering applications and looking at patterns of accepting/rejecting applications', 'Looking at specific applications and making intuitive judgements']",,I think it was fine. I don't think there was anything I disliked about it. Everything was pretty clear and straightforward,11,1,11,10,10,5
5c8bafb53b6f3d00013d7c30,,4,"People will be treated the same whether they are protected by law (e.g. gender, age, etc.) or not",,5,4,5,5,1,5,5,5,2,4,Carrot Juice,"['Checking the DPR Fairness metric', 'Checking the AOD fairness metric']",,['Looking at the value distributions for attributes for loan applications decisions'],,"It's quite fair and detailed, so you can make decisions based on it.
I didn't like the fact that it requires a lot of learning.",20,1,15,18,18,2
5d4dbe7df20feb00010b596d,"['I have programming experience', 'I have some familiarity with machine learning, artificial intelligence or statistics']",4,"People will be treated the same whether they are protected by law (e.g. gender, age, etc.) or not",,4,3,4,3,2,4,4,4,3,4,Carrot Juice,"['Looking at the value distributions for attributes for loan applications decisions', 'Sorting/Filtering applications and looking at patterns of accepting/rejecting applications']",,"['Sorting/Filtering applications and looking at patterns of accepting/rejecting applications', 'Looking at specific applications and making intuitive judgements']",,"I believe that using artificial intelligence for this type of task is very beneficial because it can help prevent bias in decision-making that a human might exhibit. Additionally, I think it is possible to implement this task in other areas of the finance sector where numerous variables need evaluation. On the other hand, I believe that a variable that can be included in the analysis is the number of credit cards the customer possesses.",13,2,16,18,14,1
5d9b4e21b56c51035c35cb3d,"['I have some familiarity with machine learning, artificial intelligence or statistics']",4,"People will be treated the same whether they are protected by law (e.g. gender, age, etc.) or not",,4,3,4,4,4,3,4,3,2,4,Carrot Juice,"['Looking at the value distributions for attributes for loan applications decisions', 'Looking at specific applications and making intuitive judgements']",,"['Looking at the value distributions for attributes for loan applications decisions', 'Looking at specific applications and making intuitive judgements']",,"If they hadn't told me that it was AI doing this work, I would have thought it could have been a human. Overall nothing to point out",11,4,14,15,10,1
