,SK_ID_CURR,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,AGE,YEARS_EMPLOYED,YEARS_REGISTRATION,YEARS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,YEARS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE_LE,CODE_GENDER_LE,FLAG_OWN_CAR_LE,FLAG_OWN_REALTY_LE,NAME_TYPE_SUITE_LE,NAME_INCOME_TYPE_LE,NAME_EDUCATION_TYPE_LE,NAME_FAMILY_STATUS_LE,NAME_HOUSING_TYPE_LE,OCCUPATION_TYPE_LE,WEEKDAY_APPR_PROCESS_START_LE,ORGANIZATION_TYPE_LE,TARGET
12570,267781,0,16.0,30.0,2.0,24.0,0.0088659999999999,54.0,-1001.0,25.0,9.0,1,0,0,1,0,0,1.0,2,2,12,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,6,3,4,4,1,17,1,57,1
80615,359255,0,22.0,127.0,4.0,111.0,0.04622,43.0,4.0,21.0,11.0,1,1,0,1,0,0,2.0,1,1,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,1,1,6,1,4,1,1,8,5,5,1
32455,283541,1,32.0,81.0,4.0,81.0,0.072508,45.0,4.0,8.0,0.0,1,1,0,1,1,0,3.0,1,1,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,6,1,1,1,1,10,0,5,1
18055,418640,0,27.0,25.0,2.0,22.0,0.0096569999999999,28.0,7.0,13.0,7.0,1,1,1,1,1,0,2.0,2,2,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0062868414677756,0.0069789708036775,0.0355754478653577,0.2645779741374338,0.2627669023751571,1.9065625396532435,0,1,1,1,1,1,2,0,1,10,5,5,0
4334,280911,0,20.0,18.0,1.0,18.0,0.020713,44.0,17.0,20.0,11.0,1,1,0,1,0,0,2.0,3,2,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,6,7,1,1,1,10,4,5,1
25517,286874,1,15.0,101.0,4.0,90.0,0.0038179999999999,46.0,-1001.0,13.0,1.0,1,0,0,1,0,0,3.0,2,2,7,0,0,0,0,0,0,1.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,6,3,4,1,1,17,0,57,1
82291,330051,0,18.0,31.0,2.0,24.0,0.00733,31.0,3.0,12.0,9.0,1,1,0,1,0,0,2.0,2,2,12,0,0,0,0,1,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,1,1,6,7,4,0,1,8,5,42,0
77205,126851,0,11.0,53.0,1.0,42.0,0.025164,33.0,1.0,11.0,11.0,1,1,1,1,0,0,2.0,2,2,15,0,0,0,1,0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,6,1,4,1,1,10,5,5,1
97433,420017,0,22.0,29.0,2.0,27.0,0.020713,34.0,7.0,6.0,12.0,1,1,1,1,1,0,1.0,3,3,17,0,0,0,0,1,1,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,0,0,0,0,6,7,1,3,1,3,4,30,1
19997,119880,0,22.0,201.0,8.0,180.0,0.04622,29.0,1.0,14.0,8.0,1,1,0,1,0,0,1.0,1,1,14,0,0,0,0,0,0,4.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1,1,6,1,1,3,5,0,2,5,1
