participant_id,iteration,fs,accuracy,CMA_accuracy
,0,0.5,69.89999999999999,
60c442aafa8afba1988e2ba0,0,0.5,69.19999999999999,69.19999999999999
60c442aafa8afba1988e2ba0,1,0.5,70.7,69.94999999999999
60c442aafa8afba1988e2ba0,2,0.5,71.0,70.3
60c442aafa8afba1988e2ba0,3,0.5,71.3,70.55
60c442aafa8afba1988e2ba0,4,0.5,69.5,70.34
60c442aafa8afba1988e2ba0,5,0.5,71.1,70.46666666666665
60a3a03bc01ba594c9cca88d,0,0.5,71.5,71.5
60a3a03bc01ba594c9cca88d,1,0.5,71.7,71.6
60a3a03bc01ba594c9cca88d,2,0.5,71.8,71.66666666666667
5fad5482f2e5c201d4a5cd76,0,0.5,69.6,69.6
5fad5482f2e5c201d4a5cd76,1,0.5,70.39999999999999,70.0
5fad5482f2e5c201d4a5cd76,2,0.5,69.6,69.86666666666666
5fad5482f2e5c201d4a5cd76,3,0.5,70.3,69.975
5fad5482f2e5c201d4a5cd76,4,0.5,68.7,69.72
5fad5482f2e5c201d4a5cd76,5,0.5,68.4,69.5
5f047d44d191116edb3cb798,0,0.5,70.8,70.8
5f047d44d191116edb3cb798,1,0.5,69.8,70.3
60ddc4cc0a3f074060092937,0,0.5,71.8,71.8
5f1c55c8ea92af4d99d03137,0,0.5,69.8,69.8
5f1c55c8ea92af4d99d03137,1,0.5,72.1,70.94999999999999
5f1c55c8ea92af4d99d03137,2,0.5,70.1,70.66666666666667
5f1c55c8ea92af4d99d03137,3,0.5,69.3,70.32499999999999
5f1c55c8ea92af4d99d03137,4,0.5,68.30000000000001,69.92
5f1c55c8ea92af4d99d03137,5,0.5,70.6,70.03333333333333
5f1c55c8ea92af4d99d03137,6,0.5,70.1,70.04285714285713
5f1c55c8ea92af4d99d03137,7,0.5,70.1,70.05
5f1c55c8ea92af4d99d03137,8,0.5,70.5,70.1
5f1c55c8ea92af4d99d03137,9,0.5,70.8,70.16999999999999
5f1c55c8ea92af4d99d03137,10,0.5,70.8,70.22727272727273
5f1c55c8ea92af4d99d03137,11,0.5,70.0,70.20833333333333
5f1c55c8ea92af4d99d03137,12,0.5,70.19999999999999,70.2076923076923
5b222aff59f9620001c109cb,0,0.5,69.8,69.8
5b222aff59f9620001c109cb,1,0.5,71.5,70.65
5b222aff59f9620001c109cb,2,0.5,70.19999999999999,70.5
5b222aff59f9620001c109cb,3,0.5,70.39999999999999,70.475
5b222aff59f9620001c109cb,4,0.5,71.3,70.64
5b222aff59f9620001c109cb,5,0.5,70.19999999999999,70.56666666666666
5b222aff59f9620001c109cb,6,0.5,72.3,70.8142857142857
5b222aff59f9620001c109cb,7,0.5,70.8,70.8125
5b222aff59f9620001c109cb,8,0.5,69.5,70.66666666666667
5b222aff59f9620001c109cb,9,0.5,69.39999999999999,70.53999999999999
5b222aff59f9620001c109cb,10,0.5,68.60000000000001,70.36363636363636
5b222aff59f9620001c109cb,11,0.5,69.39999999999999,70.28333333333333
