participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS
,0,0.5,0.6681,0.882,0.8496382978723396,0.919
60c442aafa8afba1988e2ba0,0,0.5,0.6569,0.858,0.8857659574468083,0.92425
60c442aafa8afba1988e2ba0,1,0.5,0.6747,0.848,0.8635744680851056,0.94275
60c442aafa8afba1988e2ba0,2,0.5,0.6685,0.86,0.8735531914893613,0.935
60c442aafa8afba1988e2ba0,3,0.5,0.6765,0.871,0.876297872340425,0.92625
60c442aafa8afba1988e2ba0,4,0.5,0.6595,0.868,0.8732765957446802,0.9405
60c442aafa8afba1988e2ba0,5,0.5,0.6614,0.883,0.8613829787234044,0.93375
60c442aafa8afba1988e2ba0,6,0.5,0.6674,0.884,0.8751914893617014,0.938
60c442aafa8afba1988e2ba0,7,0.5,0.6713,0.874,0.8627234042553192,0.93775
60c442aafa8afba1988e2ba0,8,0.5,0.6658999999999999,0.883,0.8774468085106369,0.93025
60c442aafa8afba1988e2ba0,9,0.5,0.681,0.878,0.869382978723404,0.9275
60c442aafa8afba1988e2ba0,10,0.5,0.6681,0.882,0.8593191489361701,0.91725
60a3a03bc01ba594c9cca88d,0,0.5,0.6704000000000001,0.864,0.8619361702127657,0.932
60a3a03bc01ba594c9cca88d,1,0.5,0.6734,0.875,0.8735319148936173,0.93025
60a3a03bc01ba594c9cca88d,2,0.5,0.6672,0.873,0.8712978723404253,0.93875
60a3a03bc01ba594c9cca88d,3,0.5,0.6699,0.874,0.8571914893617015,0.925
60a3a03bc01ba594c9cca88d,4,0.5,0.6604,0.874,0.8659999999999994,0.934
60a3a03bc01ba594c9cca88d,5,0.5,0.6819999999999999,0.868,0.8751702127659573,0.92875
60a3a03bc01ba594c9cca88d,6,0.5,0.6679999999999999,0.859,0.8694680851063827,0.9385
60a3a03bc01ba594c9cca88d,7,0.5,0.6693,0.9,0.8645106382978717,0.93525
60a3a03bc01ba594c9cca88d,8,0.5,0.6785,0.87,0.8725106382978723,0.94425
60a3a03bc01ba594c9cca88d,9,0.5,0.6828000000000001,0.856,0.8764680851063825,0.9515
60a3a03bc01ba594c9cca88d,10,0.5,0.6664,0.873,0.8927446808510628,0.944
60a3a03bc01ba594c9cca88d,11,0.5,0.6618,0.876,0.8854468085106392,0.931
60a3a03bc01ba594c9cca88d,12,0.5,0.6634,0.88,0.8777872340425529,0.933
60a3a03bc01ba594c9cca88d,13,0.5,0.6761,0.876,0.8877659574468085,0.936
60a3a03bc01ba594c9cca88d,14,0.5,0.6557,0.866,0.8633404255319149,0.9365
60a3a03bc01ba594c9cca88d,15,0.5,0.6627000000000001,0.885,0.8676170212765952,0.9405
60a3a03bc01ba594c9cca88d,16,0.5,0.6696,0.871,0.8719361702127663,0.9325
60a3a03bc01ba594c9cca88d,17,0.5,0.6693,0.879,0.8732553191489354,0.9385
60a3a03bc01ba594c9cca88d,18,0.5,0.6753,0.851,0.8787659574468077,0.92725
60a3a03bc01ba594c9cca88d,19,0.5,0.6713,0.852,0.8787021276595733,0.93775
60a3a03bc01ba594c9cca88d,20,0.5,0.6701,0.878,0.88068085106383,0.93025
60a3a03bc01ba594c9cca88d,21,0.5,0.6704,0.878,0.8789148936170196,0.94
60a3a03bc01ba594c9cca88d,22,0.5,0.6703,0.88,0.878978723404255,0.91525
