participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS,CMA_consistency,CMA_counterfactual_CODE_GENDER,CMA_counterfactual_AGE,CMA_counterfactual_NAME_FAMILY_STATUS
,0,0.5,0.6681,0.882,0.8496382978723396,0.919,,,,
60c442aafa8afba1988e2ba0,0,0.5,0.6569,0.858,0.8857659574468083,0.92425,0.6569,0.858,0.8857659574468083,0.92425
60c442aafa8afba1988e2ba0,1,0.5,0.6747,0.848,0.8635744680851056,0.94275,0.6658,0.853,0.8746702127659569,0.9335
60c442aafa8afba1988e2ba0,2,0.5,0.6685,0.86,0.8735531914893613,0.935,0.6667,0.8553333333333333,0.8742978723404251,0.934
60c442aafa8afba1988e2ba0,3,0.5,0.6765,0.871,0.876297872340425,0.92625,0.66915,0.85925,0.874797872340425,0.9320625
60c442aafa8afba1988e2ba0,4,0.5,0.6595,0.868,0.8732765957446802,0.9405,0.66722,0.861,0.874493617021276,0.9337500000000001
60c442aafa8afba1988e2ba0,5,0.5,0.6614,0.883,0.8613829787234044,0.93375,0.66625,0.8646666666666666,0.8723085106382974,0.93375
60c442aafa8afba1988e2ba0,6,0.5,0.6674,0.884,0.8751914893617014,0.938,0.6664142857142857,0.8674285714285714,0.8727203647416408,0.9343571428571428
60c442aafa8afba1988e2ba0,7,0.5,0.6713,0.874,0.8627234042553192,0.93775,0.667025,0.86825,0.8714707446808507,0.93478125
60c442aafa8afba1988e2ba0,8,0.5,0.6658999999999999,0.883,0.8774468085106369,0.93025,0.6668999999999999,0.8698888888888888,0.8721347517730492,0.9342777777777778
60c442aafa8afba1988e2ba0,9,0.5,0.681,0.878,0.869382978723404,0.9275,0.66831,0.8707,0.8718595744680847,0.9336
60c442aafa8afba1988e2ba0,10,0.5,0.6681,0.882,0.8593191489361701,0.91725,0.6682909090909092,0.8717272727272728,0.8707195357833651,0.9321136363636363
60a3a03bc01ba594c9cca88d,0,0.5,0.6704000000000001,0.864,0.8619361702127657,0.932,0.6704000000000001,0.864,0.8619361702127657,0.932
60a3a03bc01ba594c9cca88d,1,0.5,0.6734,0.875,0.8735319148936173,0.93025,0.6719,0.8694999999999999,0.8677340425531914,0.931125
60a3a03bc01ba594c9cca88d,2,0.5,0.6672,0.873,0.8712978723404253,0.93875,0.6703333333333333,0.8706666666666667,0.8689219858156028,0.9336666666666668
60a3a03bc01ba594c9cca88d,3,0.5,0.6699,0.874,0.8571914893617015,0.925,0.6702250000000001,0.8714999999999999,0.8659893617021275,0.9315
60a3a03bc01ba594c9cca88d,4,0.5,0.6604,0.874,0.8659999999999994,0.934,0.6682600000000001,0.8720000000000001,0.8659914893617019,0.932
60a3a03bc01ba594c9cca88d,5,0.5,0.6819999999999999,0.868,0.8751702127659573,0.92875,0.67055,0.8713333333333333,0.8675212765957444,0.9314583333333334
60a3a03bc01ba594c9cca88d,6,0.5,0.6679999999999999,0.859,0.8694680851063827,0.9385,0.6701857142857143,0.8695714285714286,0.8677993920972641,0.9324642857142857
60a3a03bc01ba594c9cca88d,7,0.5,0.6693,0.9,0.8645106382978717,0.93525,0.670075,0.873375,0.8673882978723402,0.9328125
60a3a03bc01ba594c9cca88d,8,0.5,0.6785,0.87,0.8725106382978723,0.94425,0.6710111111111111,0.873,0.8679574468085103,0.9340833333333334
60a3a03bc01ba594c9cca88d,9,0.5,0.6828000000000001,0.856,0.8764680851063825,0.9515,0.67219,0.8713,0.8688085106382977,0.935825
