participant_id,iteration,fs,accuracy
,0,0.5,69.89999999999999
60c442aafa8afba1988e2ba0,0,0.5,71.39999999999999
60c442aafa8afba1988e2ba0,1,0.5,71.89999999999999
60c442aafa8afba1988e2ba0,2,0.5,70.1
60c442aafa8afba1988e2ba0,3,0.5,71.39999999999999
60c442aafa8afba1988e2ba0,4,0.5,70.7
60c442aafa8afba1988e2ba0,5,0.5,69.69999999999999
60a3a03bc01ba594c9cca88d,0,0.5,69.69999999999999
60a3a03bc01ba594c9cca88d,1,0.5,69.69999999999999
60a3a03bc01ba594c9cca88d,2,0.5,71.3
5fad5482f2e5c201d4a5cd76,0,0.5,70.3
5fad5482f2e5c201d4a5cd76,1,0.5,69.8
5fad5482f2e5c201d4a5cd76,2,0.5,69.19999999999999
5fad5482f2e5c201d4a5cd76,3,0.5,68.4
5fad5482f2e5c201d4a5cd76,4,0.5,69.39999999999999
5fad5482f2e5c201d4a5cd76,5,0.5,69.69999999999999
5f047d44d191116edb3cb798,0,0.5,68.5
5f047d44d191116edb3cb798,1,0.5,71.5
60ddc4cc0a3f074060092937,0,0.5,72.3
5f1c55c8ea92af4d99d03137,0,0.5,70.39999999999999
5f1c55c8ea92af4d99d03137,1,0.5,70.1
5f1c55c8ea92af4d99d03137,2,0.5,70.7
5f1c55c8ea92af4d99d03137,3,0.5,71.89999999999999
5f1c55c8ea92af4d99d03137,4,0.5,70.19999999999999
5f1c55c8ea92af4d99d03137,5,0.5,70.89999999999999
5f1c55c8ea92af4d99d03137,6,0.5,71.39999999999999
5f1c55c8ea92af4d99d03137,7,0.5,70.89999999999999
5f1c55c8ea92af4d99d03137,8,0.5,70.89999999999999
5f1c55c8ea92af4d99d03137,9,0.5,70.89999999999999
5f1c55c8ea92af4d99d03137,10,0.5,70.89999999999999
5f1c55c8ea92af4d99d03137,11,0.5,70.89999999999999
5f1c55c8ea92af4d99d03137,12,0.5,70.7
5b222aff59f9620001c109cb,0,0.5,70.8
5b222aff59f9620001c109cb,1,0.5,70.8
5b222aff59f9620001c109cb,2,0.5,70.89999999999999
5b222aff59f9620001c109cb,3,0.5,71.39999999999999
5b222aff59f9620001c109cb,4,0.5,72.39999999999999
5b222aff59f9620001c109cb,5,0.5,71.2
5b222aff59f9620001c109cb,6,0.5,70.39999999999999
5b222aff59f9620001c109cb,7,0.5,70.39999999999999
5b222aff59f9620001c109cb,8,0.5,70.39999999999999
5b222aff59f9620001c109cb,9,0.5,71.5
5b222aff59f9620001c109cb,10,0.5,69.3
5b222aff59f9620001c109cb,11,0.5,70.3
5b222aff59f9620001c109cb,12,0.5,69.8
5b222aff59f9620001c109cb,13,0.5,69.8
