participant_id,iteration,fs,accuracy,CMA_accuracy
,0,0.5,69.89999999999999,
60c442aafa8afba1988e2ba0,0,0.5,69.8,69.8
60c442aafa8afba1988e2ba0,1,0.5,70.1,69.94999999999999
60a3a03bc01ba594c9cca88d,0,0.5,70.89999999999999,70.89999999999999
60a3a03bc01ba594c9cca88d,1,0.5,71.0,70.94999999999999
60a3a03bc01ba594c9cca88d,2,0.5,70.8,70.89999999999999
5fad5482f2e5c201d4a5cd76,0,0.5,71.5,71.5
5fad5482f2e5c201d4a5cd76,1,0.5,71.1,71.3
5f047d44d191116edb3cb798,0,0.5,70.0,70.0
5f047d44d191116edb3cb798,1,0.5,70.1,70.05
5f047d44d191116edb3cb798,2,0.5,71.8,70.63333333333333
5f047d44d191116edb3cb798,3,0.5,70.19999999999999,70.52499999999999
5f047d44d191116edb3cb798,4,0.5,70.89999999999999,70.6
60ddc4cc0a3f074060092937,0,0.5,69.5,69.5
60ddc4cc0a3f074060092937,1,0.5,70.89999999999999,70.19999999999999
60ddc4cc0a3f074060092937,2,0.5,69.8,70.06666666666666
60ddc4cc0a3f074060092937,3,0.5,71.2,70.35
60ddc4cc0a3f074060092937,4,0.5,69.69999999999999,70.22
60ddc4cc0a3f074060092937,5,0.5,70.5,70.26666666666667
60ddc4cc0a3f074060092937,6,0.5,69.5,70.15714285714286
60ddc4cc0a3f074060092937,7,0.5,69.69999999999999,70.1
60ddc4cc0a3f074060092937,8,0.5,72.2,70.33333333333333
60ddc4cc0a3f074060092937,9,0.5,71.6,70.46
60ddc4cc0a3f074060092937,10,0.5,71.7,70.57272727272726
60ddc4cc0a3f074060092937,11,0.5,71.39999999999999,70.64166666666667
63ced242b56ce9d796f4398b,0,0.5,71.1,71.1
63ced242b56ce9d796f4398b,1,0.5,70.19999999999999,70.64999999999999
63ced242b56ce9d796f4398b,2,0.5,70.1,70.46666666666665
6116920ff5bcc6aa24f00927,0,0.5,71.0,71.0
6116920ff5bcc6aa24f00927,1,0.5,71.7,71.35
6116920ff5bcc6aa24f00927,2,0.5,70.1,70.93333333333334
6116920ff5bcc6aa24f00927,3,0.5,69.89999999999999,70.675
6116920ff5bcc6aa24f00927,4,0.5,69.89999999999999,70.52
6116920ff5bcc6aa24f00927,5,0.5,70.39999999999999,70.5
6116920ff5bcc6aa24f00927,6,0.5,69.69999999999999,70.38571428571427
5d9b4e21b56c51035c35cb3d,0,0.5,70.89999999999999,70.89999999999999
5d9b4e21b56c51035c35cb3d,1,0.5,71.5,71.19999999999999
5d9b4e21b56c51035c35cb3d,2,0.5,69.5,70.63333333333333
5d9b4e21b56c51035c35cb3d,3,0.5,69.39999999999999,70.32499999999999
5d9b4e21b56c51035c35cb3d,4,0.5,68.89999999999999,70.03999999999999
5d9b4e21b56c51035c35cb3d,5,0.5,70.0,70.03333333333333
5d9b4e21b56c51035c35cb3d,6,0.5,69.6,69.97142857142856
5d9b4e21b56c51035c35cb3d,7,0.5,71.0,70.1
5d9b4e21b56c51035c35cb3d,8,0.5,71.89999999999999,70.3
5d9b4e21b56c51035c35cb3d,9,0.5,69.19999999999999,70.19
5d9b4e21b56c51035c35cb3d,10,0.5,70.39999999999999,70.2090909090909
5d9b4e21b56c51035c35cb3d,11,0.5,69.6,70.15833333333333
5d9b4e21b56c51035c35cb3d,12,0.5,69.6,70.11538461538461
5d9b4e21b56c51035c35cb3d,13,0.5,70.8,70.16428571428571
5d9b4e21b56c51035c35cb3d,14,0.5,71.7,70.26666666666667
5d9b4e21b56c51035c35cb3d,15,0.5,70.0,70.25
5d9b4e21b56c51035c35cb3d,16,0.5,69.39999999999999,70.19999999999999
5d9b4e21b56c51035c35cb3d,17,0.5,70.39999999999999,70.21111111111111
5d9b4e21b56c51035c35cb3d,18,0.5,69.5,70.17368421052632
5d9b4e21b56c51035c35cb3d,19,0.5,69.3,70.13
5d9b4e21b56c51035c35cb3d,20,0.5,70.6,70.15238095238094
5d9b4e21b56c51035c35cb3d,21,0.5,71.5,70.21363636363635
5fdb9ccbe6b281016f79a732,0,0.5,71.39999999999999,71.39999999999999
5fdb9ccbe6b281016f79a732,1,0.5,70.39999999999999,70.89999999999999
5fdb9ccbe6b281016f79a732,2,0.5,72.2,71.33333333333333
5fdb9ccbe6b281016f79a732,3,0.5,69.19999999999999,70.8
5fdb9ccbe6b281016f79a732,4,0.5,69.6,70.55999999999999
5fdb9ccbe6b281016f79a732,5,0.5,70.39999999999999,70.53333333333332
5fdb9ccbe6b281016f79a732,6,0.5,70.5,70.52857142857142
5fdb9ccbe6b281016f79a732,7,0.5,69.69999999999999,70.425
60febbf6684ed23d1eec2db6,0,0.5,70.1,70.1
60febbf6684ed23d1eec2db6,1,0.5,70.6,70.35
60febbf6684ed23d1eec2db6,2,0.5,71.6,70.76666666666667
60febbf6684ed23d1eec2db6,3,0.5,70.8,70.77499999999999
60febbf6684ed23d1eec2db6,4,0.5,71.7,70.96
60febbf6684ed23d1eec2db6,5,0.5,69.39999999999999,70.7
60febbf6684ed23d1eec2db6,6,0.5,68.60000000000001,70.39999999999999
654ce65838678c566569c723,0,0.5,69.5,69.5
654ce65838678c566569c723,1,0.5,70.89999999999999,70.19999999999999
654ce65838678c566569c723,2,0.5,69.8,70.06666666666666
654ce65838678c566569c723,3,0.5,71.8,70.5
64f9f86e6bf2358fd13945f1,0,0.5,71.3,71.3
64f9f86e6bf2358fd13945f1,1,0.5,72.1,71.69999999999999
64f9f86e6bf2358fd13945f1,2,0.5,67.9,70.43333333333334
6507355f07adea6bb9abb279,0,0.5,71.39999999999999,71.39999999999999
6507355f07adea6bb9abb279,1,0.5,70.3,70.85
